"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Brunei",2020-08-13,"Closure Policies","Restrictions on gatherings",2,"Restrictions on gatherings between 101-1,000 people","Partial restriction","High income","Western Pacific Region"
"Bhutan",2020-08-14,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Lower middle income","South-East Asia Region"
"Nigeria",2020-08-14,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","African Region"
"Nigeria",2020-08-14,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","African Region"
"Nigeria",2020-08-14,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Lower middle income","African Region"
"Jordan",2020-08-15,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","Eastern Mediterranean Region"
"Brunei",2020-08-17,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","High income","Western Pacific Region"
"United Kingdom",2020-08-17,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","European Region"
"Tajikistan",2020-08-17,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Low income","European Region"
"Afghanistan",2020-08-18,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Low income","Eastern Mediterranean Region"
"Netherlands",2020-08-18,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Sierra Leone",2020-08-18,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Eswatini",2020-08-18,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","African Region"
"Angola",2020-08-21,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Bosnia and Herzegovina",2020-08-21,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","European Region"
"Cote d'Ivoire",2020-08-21,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Lower middle income","African Region"
"Lebanon",2020-08-21,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Eastern Mediterranean Region"
"Lebanon",2020-08-21,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Eastern Mediterranean Region"
"Lebanon",2020-08-21,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Eastern Mediterranean Region"
"Luxembourg",2020-08-21,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Denmark",2020-08-22,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Germany",2020-08-24,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"El Salvador",2020-08-24,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","Region of the Americas"
"Burma",2020-08-26,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","South-East Asia Region"
"Gambia",2020-08-27,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","African Region"
"Nicaragua",2020-08-28,"Closure Policies","School closing",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Vanuatu",2020-08-28,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income",NA
"New Zealand",2020-08-31,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","Western Pacific Region"
"Puerto Rico",2020-08-31,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income",NA
"Puerto Rico",2020-08-31,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income",NA
"Trinidad and Tobago",2020-08-31,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","High income","Region of the Americas"
"Hungary",2020-09-01,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","European Region"
"South Sudan",2020-09-01,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","African Region"
"Belize",2020-09-02,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Region of the Americas"
"Indonesia",2020-09-04,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","South-East Asia Region"
"Serbia",2020-09-04,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","European Region"
"Bermuda",2020-09-05,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income",NA
"Aruba",2020-09-07,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income",NA
"Bosnia and Herzegovina",2020-09-07,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Upper middle income","European Region"
"Eritrea",2020-09-07,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Low income","African Region"
"Croatia",2020-09-07,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","European Region"
"Croatia",2020-09-07,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","European Region"
"Croatia",2020-09-07,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","European Region"
"Monaco",2020-09-07,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"Chad",2020-09-08,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Low income","African Region"
"Tajikistan",2020-09-08,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","European Region"
"U.S. Virgin Islands",2020-09-08,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income",NA
"Ethiopia",2020-09-11,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","African Region"
"Hungary",2020-09-11,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Morocco",2020-09-14,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Lower middle income","Eastern Mediterranean Region"
"Suriname",2020-09-15,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","Region of the Americas"
"Suriname",2020-09-15,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","Region of the Americas"
"Switzerland",2020-09-17,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Tanzania",2020-09-17,"Closure Policies","Cancel public events",0,"No measures","No restriction","Lower middle income","African Region"
"Tanzania",2020-09-17,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Lower middle income","African Region"
"Mexico",2020-09-18,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Upper middle income","Region of the Americas"
"Poland",2020-09-18,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"El Salvador",2020-09-19,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","Region of the Americas"
"Honduras",2020-09-20,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","Region of the Americas"
"Andorra",2020-09-21,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Malaysia",2020-09-21,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Western Pacific Region"
"Guyana",2020-09-22,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Region of the Americas"
"China",2020-09-24,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Upper middle income","Western Pacific Region"
"Zambia",2020-09-26,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","African Region"
"Zambia",2020-09-26,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Netherlands",2020-09-28,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","European Region"
"Brunei",2020-09-29,"Economic Policies","Income support",0,"No measures","No support","High income","Western Pacific Region"
"Greece",2020-09-29,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Greenland",2020-09-29,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income",NA
"Netherlands",2020-09-29,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Belgium",2020-10-01,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","European Region"
"Guatemala",2020-10-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Upper middle income","Region of the Americas"
"Malta",2020-10-01,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Nicaragua",2020-10-01,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","Region of the Americas"
"Pakistan",2020-10-01,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Eastern Mediterranean Region"
"Philippines",2020-10-01,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","Western Pacific Region"
"Singapore",2020-10-01,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income","Western Pacific Region"
"Slovakia",2020-10-01,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Syria",2020-10-01,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","Eastern Mediterranean Region"
"Fiji",2020-10-02,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Upper middle income","Western Pacific Region"
"Russia",2020-10-02,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","European Region"
"Slovenia",2020-10-02,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Yemen",2020-10-04,"Closure Policies","School closing",0,"No measures","No restriction","Low income","Eastern Mediterranean Region"
"Costa Rica",2020-10-05,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Region of the Americas"
"Ethiopia",2020-10-05,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Low income","African Region"
"Moldova",2020-10-05,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Lower middle income","European Region"
"Paraguay",2020-10-05,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","Region of the Americas"
"Sierra Leone",2020-10-05,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Low income","African Region"
"Morocco",2020-10-06,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Burma",2020-10-06,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","South-East Asia Region"
"Burma",2020-10-06,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","South-East Asia Region"
"U.S. Virgin Islands",2020-10-06,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","High income",NA
"Liberia",2020-10-08,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Low income","African Region"
"South Sudan",2020-10-08,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Tunisia",2020-10-08,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","Eastern Mediterranean Region"
"Bermuda",2020-10-09,"Economic Policies","Debt contract relief",0,"No measures","No support","High income",NA
"Bermuda",2020-10-09,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income",NA
"Congo (Kinshasa)",2020-10-09,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Low income","African Region"
"Georgia",2020-10-09,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","European Region"
"Lithuania",2020-10-09,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Argentina",2020-10-10,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","Region of the Americas"
"France",2020-10-10,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","European Region"
"Morocco",2020-10-10,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","Eastern Mediterranean Region"
"Cape Verde",2020-10-12,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","African Region"
"Indonesia",2020-10-12,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Upper middle income","South-East Asia Region"
"Austria",2020-10-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Austria",2020-10-13,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Dominica",2020-10-13,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Upper middle income","Region of the Americas"
"Spain",2020-10-13,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","High income","European Region"
"South Korea",2020-10-13,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","Western Pacific Region"
"Niger",2020-10-13,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Low income","African Region"
"Niger",2020-10-13,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","African Region"
"Cameroon",2020-10-15,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Lower middle income","African Region"
"Congo (Brazzaville)",2020-10-15,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","African Region"
"Latvia",2020-10-15,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","High income","European Region"
"Burkina Faso",2020-10-16,"Closure Policies","Cancel public events",0,"No measures","No restriction","Low income","African Region"
"Central African Republic",2020-10-17,"Closure Policies","Cancel public events",0,"No measures","No restriction","Low income","African Region"
"Central African Republic",2020-10-17,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Low income","African Region"
"France",2020-10-17,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"Malta",2020-10-17,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","High income","European Region"
"Puerto Rico",2020-10-17,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income",NA
"Belize",2020-10-19,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Upper middle income","Region of the Americas"
"Switzerland",2020-10-19,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"Ethiopia",2020-10-19,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Low income","African Region"
"Croatia",2020-10-19,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","European Region"
"Nigeria",2020-10-19,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Nigeria",2020-10-19,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","African Region"
"Switzerland",2020-10-20,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Djibouti",2020-10-20,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Denmark",2020-10-21,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Turkmenistan",2020-10-21,"Closure Policies","Restrictions on gatherings",1,"Restrictions on very large gatherings (more than 1,000 people)","Partial restriction","Upper middle income","European Region"
"Burkina Faso",2020-10-22,"Closure Policies","School closing",0,"No measures","No restriction","Low income","African Region"
"Haiti",2020-10-22,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","Region of the Americas"
"Niger",2020-10-22,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Low income","African Region"
"Slovakia",2020-10-22,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"Belgium",2020-10-23,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Bermuda",2020-10-23,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income",NA
"Italy",2020-10-23,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Italy",2020-10-23,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"U.S. Virgin Islands",2020-10-23,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income",NA
"Liechtenstein",2020-10-24,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income",NA
"Liechtenstein",2020-10-24,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income",NA
"Latvia",2020-10-24,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","European Region"
"Poland",2020-10-24,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"West Bank and Gaza",2020-10-24,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income",NA
"Spain",2020-10-25,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"Iran",2020-10-26,"Closure Policies","Workplace closing",3,"Required closing for all excluding essential workers","Full closing (with exception for essential workers)","Upper middle income","Eastern Mediterranean Region"
"Ethiopia",2020-10-27,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Low income","African Region"
"Ethiopia",2020-10-27,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"India",2020-10-27,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Lower middle income","South-East Asia Region"
"Norway",2020-10-27,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Yemen",2020-10-27,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","Low income","Eastern Mediterranean Region"
"Lebanon",2020-10-28,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Eastern Mediterranean Region"
"Portugal",2020-10-28,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","European Region"
"Belarus",2020-10-29,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Upper middle income","European Region"
"Botswana",2020-10-29,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","African Region"
"Namibia",2020-10-29,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","African Region"
"China",2020-10-30,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Western Pacific Region"
"Cote d'Ivoire",2020-10-30,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Lower middle income","African Region"
"Luxembourg",2020-10-30,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"Mali",2020-10-30,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Mali",2020-10-30,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Burma",2020-10-30,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Lower middle income","South-East Asia Region"
"Saudi Arabia",2020-10-30,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","Eastern Mediterranean Region"
"Gabon",2020-10-31,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","African Region"
"Venezuela",2020-10-31,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Upper middle income","Region of the Americas"
"Benin",2020-11-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Costa Rica",2020-11-01,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Upper middle income","Region of the Americas"
"New Zealand",2020-11-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Western Pacific Region"
"Costa Rica",2020-11-02,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Region of the Americas"
"Egypt",2020-11-02,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Lower middle income","Eastern Mediterranean Region"
"San Marino",2020-11-02,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Laos",2020-11-03,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","Western Pacific Region"
"Malaysia",2020-11-03,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Western Pacific Region"
"Israel",2020-11-04,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Israel",2020-11-04,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","European Region"
"Kenya",2020-11-04,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","African Region"
"Belarus",2020-11-05,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","European Region"
"Hungary",2020-11-05,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","High income","European Region"
"Norway",2020-11-05,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"Norway",2020-11-05,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","European Region"
"Canada",2020-11-06,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","Region of the Americas"
"Afghanistan",2020-11-09,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","Eastern Mediterranean Region"
"Guyana",2020-11-09,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","Region of the Americas"
"Latvia",2020-11-09,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Uganda",2020-11-09,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Ethiopia",2020-11-10,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Low income","African Region"
"Gambia",2020-11-10,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Low income","African Region"
"Gambia",2020-11-10,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Low income","African Region"
"Hungary",2020-11-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Hungary",2020-11-10,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Morocco",2020-11-10,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Lower middle income","Eastern Mediterranean Region"
"Morocco",2020-11-10,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","Eastern Mediterranean Region"
"Sweden",2020-11-10,"Closure Policies","Restrictions on internal movement",1,"Recommended not to travel between regions/cities","Recommend not to travel between regions/cities","High income","European Region"
"Eswatini",2020-11-11,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","African Region"
"Tunisia",2020-11-11,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Lower middle income","Eastern Mediterranean Region"
"Albania",2020-11-12,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","European Region"
"Estonia",2020-11-12,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","European Region"
"Latvia",2020-11-12,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Mongolia",2020-11-12,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","Western Pacific Region"
"Mongolia",2020-11-12,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Western Pacific Region"
"Mongolia",2020-11-12,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","Western Pacific Region"
"Faroe Islands",2020-11-13,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","High income",NA
"Guyana",2020-11-16,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Upper middle income","Region of the Americas"
"Cambodia",2020-11-16,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Lower middle income","Western Pacific Region"
"Slovakia",2020-11-16,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"United States",2020-11-16,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","Region of the Americas"
"Gabon",2020-11-17,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Upper middle income","African Region"
"Peru",2020-11-17,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","Region of the Americas"
"Peru",2020-11-17,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","Region of the Americas"
"Russia",2020-11-17,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Upper middle income","European Region"
"Vietnam",2020-11-17,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","Western Pacific Region"
"Denmark",2020-11-19,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Indonesia",2020-11-19,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","South-East Asia Region"
"New Zealand",2020-11-19,"Health Policies","Facial Coverings",2,"Required facial covering in some public settings","Recommended/Partial requirement","High income","Western Pacific Region"
"Pakistan",2020-11-20,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","Eastern Mediterranean Region"
"Switzerland",2020-11-21,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"India",2020-11-21,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","South-East Asia Region"
"Iran",2020-11-21,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","Eastern Mediterranean Region"
"Trinidad and Tobago",2020-11-21,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Region of the Americas"
"U.S. Virgin Islands",2020-11-22,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income",NA
